Number of neurons,alpha,lambda,pct
100,0.9,2,0.2
100,0.9,3,0.2
100,2,0,0.574
100,2,0.001,0.648
100,2,0.003,0.562
100,2,0.009,0.452
100,2,0.03,0.312
100,2,0.09,0.22
100,2,0.3,0.214
100,2,0.9,0.2
100,2,2,0.2
100,2,3,0.2
100,3,0,0.284
100,3,0.001,0.292
100,3,0.003,0.276
100,3,0.009,0.264
100,3,0.03,0.252
100,3,0.09,0.22
100,3,0.3,0.208
100,3,0.9,0.2
100,3,2,0.2
100,3,3,0.2
100,1,0,0.701333
100,1.25,0,0.693333
100,1.5,0,0.698666
100,1.75,0,0.653333
100,2,0,0.581333
100,1,0,0.726
100,1.25,0,0.678
100,1.5,0,0.684
